sample_id,image_path,mask_path,canonical_class,class_index,lesion_area_fraction,phase2b_pred,phase2b_conf,phase2b_correct,phase2b_energy_in,phase2b_energy_out,phase2b_iou,phase2b_pointing,phase3b_pred,phase3b_conf,phase3b_correct,phase3b_energy_in,phase3b_energy_out,phase3b_iou,phase3b_pointing
BLAST1_001,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_001.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_001.jpg,Blast,1,0.014668367803096771,1,0.9972489476203918,1,0.12220689421842457,0.8777930833463243,0.07324111851918276,1,2,0.7752068638801575,0,0.06811038703382673,0.931889634257502,0.07333599043436295,1
BLAST1_002,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_002.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_002.jpg,Blast,1,0.0043646362610161304,3,0.7752657532691956,0,0.018476911921225785,0.9815231093553344,0.021821442805877018,0,1,0.679629385471344,1,0.02601437216643423,0.9739856349811121,0.021821442805877018,1
BLAST1_003,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_003.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_003.jpg,Blast,1,0.011619100347161293,1,0.8119843602180481,1,0.10413140224828041,0.8958686690830894,0.058004178688629976,0,1,0.9854916930198669,1,0.08784321701478601,0.9121567343751033,0.05809087285765435,1
BLAST1_004,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_004.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_004.jpg,Blast,1,0.01717952825129032,5,0.9925681352615356,0,0.05041515029915924,0.9495847861090814,0.0661318724319447,0,5,0.8331015110015869,0,0.03465942958205901,0.9653405992902564,0.0465763948909569,0
BLAST1_005,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_005.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_005.jpg,Blast,1,0.021524235606193542,0,0.9704903364181519,0,0.000476720086876129,0.9995233076784722,0.0,0,0,0.7363426089286804,0,0.007205031128258869,0.992795017623661,0.0,0
BLAST1_006,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_006.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_006.jpg,Blast,1,0.0330636166036129,5,0.8933827877044678,0,0.09246969353572781,0.9075303665827239,0.08066900757708309,0,0,0.9835447669029236,0,0.041748240646783036,0.9582517115553103,0.06385881924855466,0
BLAST1_007,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_007.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_007.jpg,Blast,1,0.014070471748709679,0,0.7231513857841492,0,0.019299873355442837,0.9807001334115165,0.013205055649864926,0,0,0.4186137318611145,0,0.009398579507425746,0.9906014305945289,0.0,0
BLAST1_008,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_008.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_008.jpg,Blast,1,0.033960457891225815,5,0.9965952038764954,0,0.09068109160741673,0.9093188348893445,0.09372088690134737,0,5,0.9933915138244629,0,0.0788258994773556,0.9211742506015274,0.09770920991108208,0
BLAST1_009,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_009.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_009.jpg,Blast,1,0.02792171575129032,0,0.5649582147598267,0,0.00018141672397752108,0.9998184858850465,0.0,0,0,0.9666093587875366,0,0.03908544327325796,0.960914573383305,0.0,0
BLAST1_010,Rice Leaf Disease Image Samples/Rice Leaf Disease Image Samples/Rice Leaf Disease Images/Blast/BLAST1_010.jpg,RiceSeg-5932 Complete Pixel-Level Segmentation Mas/RiceSeg-5932 Complete Pixel-Level Segmentation Mas/Rice_Leaf_Disease_Segmentation_Masks/mask-vesrion1/Blast/BLAST1_010.jpg,Blast,1,0.023198341950774193,5,0.5248595476150513,0,0.06332004834555173,0.9366800137192449,0.05870120049148435,0,0,0.9919400811195374,0,0.03830523700276509,0.961694729745278,0.0412792859798798,0
